id,A0,A1,A2,A3,A4,A5
0,130.21016949152542,164.5094430992736,154.56077481840194,160.02953995157384,127.47506053268765,182.1767554479419
1,116.62740497419053,146.07648991083997,137.82121069920225,142.6396058188644,114.52369779446269,162.1905208822149
2,119.61472995090017,152.19345335515547,144.82094926350246,148.51849427168577,117.46448445171849,170.22716857610476
3,126.77374195989405,166.03216042376087,158.93000378357925,161.60083238743852,124.50624290578888,187.65304578130912
4,132.56096385542168,177.64289156626506,170.13542168674698,172.3898795180723,130.47710843373494,202.15180722891566
5,132.85246598639455,179.49659863945578,170.70875850340136,173.406462585034,131.33928571428572,203.5484693877551
6,129.22005748961993,172.00383264132864,162.7253273714468,165.9108910891089,128.3548387096774,193.39540083040563
7,120.75842429995254,156.48837209302326,147.8858566682487,151.9546748932131,120.88300901756051,174.4653535832938
8,118.44914902449149,150.56932337069324,142.12432544624326,147.28061436280615,119.29887920298879,167.0728518057285
9,118.1917808219178,150.61248097412482,142.39847792998478,147.84383561643835,118.76042617960427,167.6213089802131
10,123.21508310592905,160.33440833540064,152.10840982386506,157.17861572810716,122.77871495906723,180.30935251798562
11,128.83366336633662,171.94290429042906,162.55016501650164,166.97574257425742,127.31584158415842,194.0023102310231
12,129.0,173.0,162.0,167.0,127.0,194.0
13,129.5,172.0,162.5,166.5,127.5,194.5
14,130.74645892351276,177.54992917847025,167.48955382436262,172.43820821529744,128.82418555240793,200.3973087818697
15,113.15152792413066,153.53719704952582,145.53804004214962,150.33530031612224,111.5218124341412,172.38714436248682
16,117.61445086705203,156.06734104046242,147.0101156069364,153.2257225433526,116.00867052023122,174.8528901734104
17,117.44711430496295,151.21603413429148,142.78688524590163,149.39142151358635,116.16932405120144,168.28946777453402
18,113.82306648575306,144.7630936227951,137.5402985074627,143.66350067842606,112.61139755766621,160.85427408412482
19,111.60573122529644,141.76943346508563,134.68214756258234,140.70718050065875,110.28557312252964,157.48847167325428
20,115.10246039770813,147.835187057634,141.41961577350858,146.67947421638019,113.47590158409167,164.9561846983485
21,120.3661809815951,159.01418711656441,152.54946319018404,157.19018404907976,118.45935582822086,178.63381901840492
22,127.16986196319019,171.73581288343559,164.7223926380368,168.3508435582822,125.03911042944786,194.12461656441718
23,126.40250329380764,171.71903820816866,164.44433465085638,166.99341238471672,124.48814229249012,193.77964426877472
24,123.02609853528628,163.66045272969373,156.59440745672435,158.74753661784288,121.58774966711051,183.87536617842875
25,102.51499380421313,133.5635687732342,127.03444857496902,129.03246592317225,101.56604708798017,147.57620817843866
