id,A0,A1,A2,A3,A4,A5
0,197.12413055109684,240.89058319957195,227.67281968967362,247.24451578384162,193.38416265382557,279.80390583199573
1,194.3772397094431,237.1827280064568,223.89249394673124,241.47570621468927,189.8403551251009,273.79741727199354
2,196.6408110717734,239.97264242034117,225.35629224332152,242.23109108464757,191.1155455423238,275.9417444480206
3,202.25475435816165,247.8026941362916,230.91402535657687,249.63589540412045,195.1069730586371,284.8407290015848
4,202.24349386778343,246.37361651211486,229.55907867185164,246.6583906670655,194.67962907568054,283.6939874364343
5,196.35523047198456,237.76290367099088,221.78277670438862,238.46480817002484,190.29395528567485,271.3331493237648
6,196.14635340186,237.66715614292707,222.16715614292707,239.01933431228585,190.90504160548213,271.97748409202154
7,195.11736810906936,237.62507409602844,221.04564315352698,238.0355660936574,190.5515708358032,269.6727919383521
8,196.10134956337654,239.68589573961364,223.6954220693305,241.5197142101085,192.78010055570257,273.5035723736438
9,193.54615724381625,237.19125441696113,222.72416077738515,239.372128975265,191.34054770318022,269.7060512367491
10,196.2456807187284,241.40601243953006,227.24153420870766,241.90463026952315,194.5024187975121,274.8579820317899
11,196.71105681124007,241.4880879657911,226.67226634086745,239.5965180207697,193.35522296884545,274.09040928527793
12,193.1627846113583,235.49254121957603,221.1784873069877,232.41873855011778,190.56503533106516,266.05469772310914
13,196.3483854029929,239.32239432922026,223.8626936203728,235.73615122079286,193.6980834864794,271.5019690207404
14,195.0006031363088,236.12766385203057,221.0154804985927,234.1735022114998,192.57579412947325,269.3075995174909
15,192.66751879699248,230.8,218.03383458646616,231.03774436090225,190.27007518796992,264.15774436090226
16,194.76599088480276,231.65865157944367,220.46456074178846,234.48011944051547,191.4034260568914,267.8049662109068
17,196.2361231569818,234.00173460537727,222.16803989592367,236.55615784908935,192.7215958369471,271.1873373807459
18,201.34739583333334,242.71536458333333,227.14427083333334,243.08776041666667,197.0828125,280.8208333333333
19,203.18798839026567,245.98727394507702,228.82808662647912,245.15449877204733,197.52578700602814,284.38021879883905
20,203.75855540993155,247.43075578855397,228.79059268967526,246.92500364059998,196.97407892820738,285.63987185088104
21,196.82112820512822,238.4194871794872,220.41825641025642,238.35179487179488,191.08923076923077,272.96164102564103
22,196.99968508896237,238.77405133049913,219.355849472524,238.67658636435206,191.56180129113525,272.67060305463707
23,199.15711543734577,241.45708801754867,220.9404990403071,244.1346312037291,194.3147792706334,277.93940224842333
24,195.73194010202403,236.94174757281553,218.25473095277275,242.47260161263782,191.62152377818003,274.07964456146124
25,194.13996667460128,235.88288502737444,218.6112830278505,243.07236372292311,190.93263508688406,274.0121399666746
26,194.9288167343116,239.3871370590072,222.231657820793,249.74836091164534,192.24851701529815,281.178894786138
27,192.20367979341512,236.24693350548742,220.09360877985796,245.46223369916075,190.53712072304714,277.31859264041316
28,190.81981981981983,233.24942084942086,217.07413127413128,242.03835263835265,189.1019305019305,274.6072072072072
29,191.55079271873166,233.13211978860835,216.62331180270112,240.72460364063417,189.59982384028186,273.94891368173813
30,196.6509186351706,239.1195418754474,222.87974230493916,249.03841565258887,194.72512526843235,284.25220711047484
31,191.91894457099468,232.15072133637054,217.60003796507215,240.99145785876993,190.60592255125286,273.17331055429
32,194.05030128373068,235.18050825255438,221.58265653654703,245.76342677495416,193.59680377259627,276.3764736704218
33,194.1098074608905,235.50481347773766,223.84085439229844,246.68471720818292,194.59957882069796,276.84536702767747
34,194.6622607110301,236.72789425706472,225.13673655423884,245.91773017319963,195.20237010027347,276.6563354603464
35,198.41245918111028,243.2230595327807,230.83220296407939,256.207987942728,197.7226827430294,285.4257724189902
36,194.98161047645584,237.89774310392866,227.05962663694623,248.2803009194762,194.33324045695178,278.00891613262746
37,197.12272617026437,241.41135095804026,230.44627698277952,252.29687121028377,196.49357264128062,281.75964103807905
38,196.39232294107046,238.51793115876734,228.22184177329248,249.9486393944855,195.80158587132817,278.4779239502613
39,203.1414206941291,246.09082062925722,235.56860201102822,260.5964969185858,202.4998378203049,290.77424586441776
40,197.588761963569,238.92219820932385,228.9592466810744,250.68694041370793,196.65946279715962,278.98826798394566
41,197.27754934210526,239.0139802631579,229.29358552631578,251.56332236842104,195.9362664473684,277.99095394736844
42,196.817472306143,239.27895266868077,229.95392749244712,251.63620342396777,195.25956696878146,276.4866565961732
43,201.28930307941653,246.0064829821718,235.8146947595894,260.0945434900054,199.79200432198812,285.7757968665586
44,196.3786525974026,240.23417207792207,229.10146103896105,249.8632305194805,193.85064935064935,275.64204545454544
45,198.8815990234971,244.45529447665547,231.70857491608177,253.6542569423253,195.9731461702777,280.6615807140677
46,201.22250139586822,247.97459519821328,234.11641541038526,254.54131769960915,197.39949748743717,284.54773869346735
47,202.60207724764686,249.60791950665367,234.3060694579682,254.91626095423564,198.46673158065562,286.71275559883156
48,205.47490766891158,254.35259613295676,238.34868563980012,261.96263306539214,201.45318270693025,294.5857049750163
49,204.263251783894,252.74847094801223,236.3843017329256,261.5670234454638,200.54179408766564,292.53312945973494
50,202.10150891632372,250.40294924554183,233.75034293552812,258.29423868312756,198.46124828532237,287.9050068587106
51,204.6931818181818,256.2910839160839,238.4353146853147,262.51486013986016,200.83085664335664,293.53977272727275
52,199.6759375,249.68625,231.82375,251.5728125,195.1653125,282.4828125
53,199.3536655211913,248.61053837342496,231.48825887743413,249.69931271477662,193.9152348224513,281.46534936998853
54,206.213671875,259.01640625,240.841015625,262.35625,200.50078125,295.775390625
55,200.60264900662253,249.94004879749042,232.13976995468803,251.91913558731264,195.98082955733705,284.5029627047752
56,201.13600924054288,246.38608143228416,226.61882760612187,250.42910771007797,194.88940225238233,281.7920877851574
57,200.0856548856549,246.71808731808733,229.49064449064448,249.58877338877338,195.68814968814968,282.4869022869023
58,201.32684696569922,248.026055408971,231.7424142480211,253.50098944591028,198.0405672823219,287.0999340369393
59,200.1215139442231,245.9386454183267,231.09123505976095,253.29641434262948,197.11035856573704,285.5780876494024
60,201.18321226795803,246.67514124293785,232.9374495560936,255.55811138014528,197.87933817594833,287.70621468926555
