id,A0,A1,A2,A3,A4,A5
0,170.4337738619677,198.48399412628487,192.52745961820852,190.2898678414097,169.51982378854626,206.77885462555065
1,169.42781806196442,197.53328938694793,191.29070533948584,188.94726433750824,168.16479894528675,205.7686222808174
2,158.98184263618023,186.4640215198386,180.1264290517821,177.5534633490249,157.66577000672496,193.80766644250167
3,155.50994035785288,183.81361829025846,177.32455268389663,174.55318091451292,154.2410536779324,190.82107355864812
4,157.65803814713897,186.6117166212534,179.71798365122615,176.97615803814713,156.20367847411444,193.39713896457766
5,152.4188376753507,180.44839679358716,174.0370741482966,171.9949899799599,151.09018036072143,187.5195390781563
6,155.92213740458016,183.99949109414757,177.7852417302799,176.135368956743,154.64274809160307,191.92468193384224
7,157.3537037037037,185.5162037037037,179.53009259259258,178.09722222222223,156.18194444444444,193.21203703703705
8,157.62979286029088,185.8470691934773,180.02423975319525,179.1859850154253,156.5522256500661,193.81004847950638
9,157.11993067590987,185.30814558058927,179.7889081455806,179.1469670710572,156.02322357019065,193.78578856152512
10,157.95848595848597,186.17623117623117,180.66422466422466,180.12942612942612,156.63736263736263,195.17745217745218
11,154.05962829117192,182.2392875580795,177.1223541559112,176.21295818275684,152.676045431079,191.34305627258647
12,154.91735898557062,182.3707914298207,177.72409269785746,176.62483602973327,153.29995627459553,191.39046786182772
13,155.72882303606374,182.65334078837014,178.44842046407604,177.3391109868605,154.17696393625943,191.61867486720715
14,149.0560081466395,176.67006109979633,172.64052953156823,171.0977596741344,147.377800407332,185.68329938900203
15,149.02525867315885,176.57729762629336,172.57364576993305,170.7395009129641,147.30949482653682,185.25806451612902
16,147.20875995449373,174.636803185438,170.57992036405005,168.33987485779295,145.29977246871445,182.90500568828213
17,147.4538415723645,174.97974985110184,170.9630732578916,168.55509231685528,145.45681953543777,183.27814175104228
18,147.55883386020372,175.27467509659292,171.1584123638918,168.74042852125044,145.53213909378292,183.67334035827187
19,148.85158093440302,177.28032090608778,173.34214252005663,169.70717319490325,146.99551675318546,185.24917413874468
20,147.75355805243447,176.32659176029964,172.43046192259675,168.02446941323345,146.07665418227216,183.8641697877653
21,147.1121424512218,176.05304034855087,171.94904337942793,167.29702595188482,145.4803940140178,183.5449895813601
22,148.0847975553858,177.2509549274255,173.2012987012987,168.3040488922842,146.66157372039726,184.84682964094728
23,147.6241134751773,177.3639716312057,172.9781560283688,168.12652482269505,146.23205673758866,185.01787234042553
24,146.60708421299555,176.3523340370631,171.6396903589022,167.18695754163736,145.330283837673,183.92282430213464
25,149.08593487747567,179.1305807317892,173.9795233299765,170.0255119167506,147.87210473313192,187.1980530379322
26,148.97179974651456,178.72211660329532,173.10076045627378,170.00823827629912,147.71356147021547,187.36533586818757
27,150.14652537191768,179.38006928877115,173.36376604850213,171.16180965966987,148.66150397391482,188.60790707153046
28,150.21161825726142,178.6450899031812,171.8295988934993,170.74744121715077,148.4243430152144,188.2005532503458
29,151.60036199095023,179.7019004524887,172.76633484162895,172.53339366515837,149.43945701357467,189.9699547511312
30,151.93051514632893,179.93205545096697,172.90535683724113,173.0441553996235,149.4874208454561,191.08505904501112
31,154.5686510926903,183.19532780708366,175.6093443858327,175.57317256970612,151.63978899773926,194.81055011303692
32,154.20721947897155,183.00017027073045,175.1421760599353,174.99812702196493,151.07662182870766,194.5532096032692
33,153.98551693404636,183.91666666666666,175.63569518716577,174.674688057041,150.5499108734403,194.45811051693406
34,148.42352242352243,178.47876447876448,170.16067716067715,168.0935550935551,144.86605286605285,187.86961686961686
35,150.94416144200628,181.5566222570533,173.09345611285266,171.01900470219437,147.21297021943573,191.27723354231975
36,153.600073046019,184.35737764791818,176.17311906501095,174.1718407596786,149.79985390796202,195.07414170927686
37,152.80069842853578,183.05138438513345,175.4908954851584,173.6273384884011,149.00648540783237,194.54652032925918
38,153.0141242937853,182.8764766307139,175.87313816127374,174.37005649717514,149.39137134052388,194.71879815100155
39,151.4316564417178,181.1074846625767,174.8127607361963,173.2726380368098,147.9072392638037,192.6078527607362
40,152.5453209211171,182.41156295933365,176.36305732484075,174.62469377756003,148.99461048505634,193.92577168054876
41,151.68765371372356,181.46384653221838,175.70560747663552,173.66674864731922,148.44736842105263,192.84456468273487
