id,A0,A1,A2,A3,A4,A5
0,155.04473244147158,178.63377926421404,172.5091973244147,173.05936454849498,152.7972408026756,191.16471571906354
1,155.49566803465572,179.11627906976744,172.4673962608299,172.9658002735978,153.2298221614227,190.44459644322845
2,156.78551389951542,180.11527671512368,173.23998979852078,173.42871716398878,154.47130833970925,191.0540678398368
3,155.2071082390953,178.33537964458804,171.43231017770597,170.45363489499192,153.28239095315024,188.1124394184168
4,155.22195640616692,178.31446039340776,171.35273790536948,170.15683147262095,153.34795321637426,188.17756512493355
5,156.16413373860183,178.8340425531915,171.49908814589665,170.99250253292806,154.0903748733536,189.51732522796354
6,156.5933147632312,178.31569173630456,170.83361188486538,170.44401114206127,154.59591457753018,188.6577530176416
7,156.93099315068494,179.12722602739726,170.88852739726028,171.28304794520548,154.68373287671233,189.97791095890412
8,156.0,178.0,170.0,171.0,154.0,189.0
9,157.507399577167,180.01751736635458,170.72153427967382,171.63968589549984,154.89398973119904,190.65448504983388
10,159.34779328555263,182.34590720482836,173.00565824217276,173.69181440965673,156.43191248585438,193.21633345907205
11,159.78712239398666,181.7997447170614,172.94383775351014,173.871649411431,157.36774925542477,192.93107360658064
12,158.504498573623,179.9387755102041,171.53873162168094,172.6350669299978,155.88896203642747,192.44327408382708
13,164.86572978989844,185.79657715319325,178.52942813413108,180.03492416863782,162.56838736607764,199.79755113399193
14,160.0926800472255,179.76711924439198,173.79250295159386,174.81759149940967,158.29545454545453,193.42827626918535
15,157.18394024276378,176.64332399626517,170.8901338313103,171.40429505135387,155.64923747276688,190.04108309990664
16,162.01479032538717,184.59822516095355,177.6770488950757,179.30920480250566,160.48112058465287,198.49538889855577
17,162.01433241136536,184.31355292934373,177.8214734724667,179.8363087754589,160.80638672366106,198.04450590897662
18,164.06314643440393,187.28715296679368,180.6940664126293,183.0930865541644,163.12221012520413,200.95046271094176
19,162.55294450736127,185.8669309173273,179.18516421291054,181.65118912797283,161.9246885617214,199.10447338618346
20,161.24815783218446,184.81031613976705,177.92631328737818,180.16282386498693,160.7135726170668,198.0839077727597
21,162.31628038439797,185.77812323346524,179.0031091011871,181.27190503109102,161.57179197286604,200.06444318824194
22,164.0550518134715,186.438957253886,180.7339702072539,182.02444948186528,163.02784974093265,200.81881476683938
23,166.05804624823028,188.56064181217556,182.42284096271825,183.05545068428503,164.18098159509202,203.12859839546957
24,164.49563619660083,185.22944418925127,179.53628847037209,181.7009646302251,162.94970142397796,199.78043178686266
25,159.63258881726878,182.09428871233698,175.60500674561536,178.90885924149302,158.43801529006146,196.38000299805125
26,148.39964572830087,173.01239950946996,166.36612617522823,170.48426216105736,147.26393241586047,188.581141844938
27,146.32663616471055,172.66003580664412,165.794708573702,170.66978317087725,145.4004376367615,189.62124527551222
28,139.81042258226157,166.03424085518623,159.46651077334224,164.01887422749292,139.19909804576582,182.93051611825624
29,142.61773891317927,168.84301478242764,163.07578596710388,166.3354153653966,141.29502394336873,185.22569227566103
30,138.09175475687104,161.32389006342495,156.43974630021143,159.2583509513742,137.7568710359408,173.69513742071882
