id,A0,A1,A2,A3,A4,A5
0,164.1297099033011,207.20840280093364,189.91730576858953,178.4764921640547,157.97999333111036,217.65055018339447
1,165.36612903225807,212.88612903225805,195.53225806451613,182.03387096774193,159.40387096774194,223.35838709677418
2,161.73252688172042,208.6486559139785,192.55510752688173,180.07204301075268,156.24139784946237,218.36075268817206
3,157.39004410838058,197.796786389414,184.50693131695022,174.4965343415249,152.61373660995588,208.69218651543792
4,154.59758635039535,187.29088639200998,178.07615480649187,170.98918019142738,151.31585518102372,199.909696213067
5,149.44892349977096,179.17178195144297,172.3460833715071,166.29317453046266,146.8948694457169,192.8978469995419
6,139.05787181082763,175.15463596764158,166.32576228998133,157.39732420659615,135.454573739888,188.61325451151214
7,138.5,176.5,165.0,157.5,135.0,189.0
8,138.66666666666666,175.0,166.0,157.33333333333334,136.33333333333334,188.66666666666666
9,139.1484375,175.51171875,166.630859375,157.669921875,135.62109375,189.08984375
10,139.09859154929578,175.6338028169014,166.49295774647888,157.7605633802817,135.46478873239437,189.0
11,139.1375,175.55,166.675,157.6125,135.5375,189.075
12,140.0,176.0,166.0,157.0,136.0,189.0
13,139.1875,175.59375,166.4375,157.53125,135.5,189.0625
14,139.13483146067415,175.3932584269663,166.59550561797752,157.7191011235955,135.69662921348313,188.98876404494382
15,139.0,175.0,167.0,157.0,135.0,189.0
16,139.11111111111111,175.53703703703704,166.66666666666666,157.57407407407408,135.4537037037037,189.12962962962962
17,141.0,175.0,166.0,158.0,135.0,190.0
18,139.15238095238095,175.4952380952381,166.61904761904762,157.8761904761905,135.40952380952382,188.9904761904762
19,138.8951048951049,175.35314685314685,166.3986013986014,157.4825174825175,135.36013986013987,188.76223776223776
20,138.7596153846154,175.28846153846155,166.3653846153846,157.4375,135.23076923076923,188.70192307692307
