id,A0,A1,A2,A3,A4,A5
0,139.61749696233292,176.01919805589307,164.77910085054677,170.28481166464155,137.25249088699877,192.06123936816525
1,138.59436056838365,173.87722024866784,161.82859680284193,167.6816163410302,135.22735346358792,189.6669626998224
2,140.3013892826765,175.79075701729516,163.3527076835838,169.1343918344202,135.89027502126453,191.73206691239014
3,135.0,178.0,165.0,167.0,135.0,191.0
4,139.40613432046536,174.55235325224749,161.8942358540455,167.80010576414597,134.85959809624538,190.35087255420413
5,140.17703810902074,174.52411963338156,161.93174143753015,168.10974433188616,135.429329474192,190.88760250844186
6,139.4259846084201,173.56677229515617,161.1371661385242,167.16794929832503,135.22000905387054,189.97464916251698
7,139.5103694102398,173.1743357096565,161.60239792611796,167.37913156189242,136.07323395981854,190.35126377187296
8,138.76938610662359,171.6748788368336,161.18537964458804,166.42407108239095,135.7617124394184,189.44507269789983
9,139.57733619763695,172.63963480128893,162.62701396348012,167.94924812030075,137.31578947368422,191.39151450053706
10,139.63627287853578,172.46888519134777,162.49683860232946,168.4109816971714,137.69550748752079,191.39767054908486
11,139.15748299319728,172.69795918367348,162.74693877551022,168.9843537414966,137.9268707482993,191.70272108843537
12,139.69056828324904,172.48140434394526,162.60606962213626,169.27848854507587,138.55340672418922,191.47515620351086
13,139.97237775289287,174.23777528928704,164.16946621873834,170.86002239641658,139.76819708846585,192.9104143337066
14,138.6797301638291,173.3064567940893,163.05364600064246,169.90138130420817,138.93221972373917,191.54930934789593
15,136.0059171597633,169.96918145956607,159.72485207100593,166.92751479289942,136.32051282051282,188.01824457593688
16,139.65938661710038,175.74907063197026,165.23652416356876,172.99117100371748,139.90520446096653,194.625
17,140.86270022883295,176.0460208492245,165.0836511568777,173.4602084922451,139.71039918637172,194.94609712687515
18,140.6108751062022,175.75148683092607,164.57943925233644,173.1087510620221,138.82455395072216,194.20050977060322
19,139.68086616968407,175.37522186723464,163.86492722754704,172.6629392971246,137.4247426340078,193.41977280795172
20,139.75014180374362,175.5731707317073,164.25581395348837,172.8766307430516,136.57997731140102,193.59444129325013
21,140.31975263732267,176.4317933794107,165.60785740269188,174.13932339032377,136.96726082211714,195.01127682793742
22,139.47730061349694,175.7480572597137,165.26298568507158,173.18364008179958,136.16278118609407,194.0887525562372
23,138.49012458219386,173.5730780917654,164.10786994834396,171.3576420540869,135.22789425706472,192.39987845639624
24,138.41978133740147,173.62573099415204,164.41215357233665,170.73785914060514,135.2977370963641,192.08644800406813
25,138.8937118723604,173.76818395119662,164.90685124354764,170.27756921633036,136.22031909901455,192.2756921633036
26,138.59743135518158,173.26970770593445,164.2422497785651,169.0487156775908,136.11204605845882,191.4007971656333
27,137.72173913043477,172.99868247694334,163.88089591567854,168.167325428195,135.7604743083004,190.44901185770752
28,135.5895810363837,171.33820286659318,162.2199558985667,166.12458654906285,134.31973539140023,188.1744762954796
29,137.18998391913624,173.8787043418332,164.36963014013324,168.6193429818516,136.0824718584884,190.5327360441075
30,138.11835983987882,174.89505571784053,164.61170615600994,169.44217245483068,136.6878719030618,191.33603808287353
