id,A0,A1,A2,A3,A4,A5
0,130.25,166.73076923076923,158.70054945054946,166.30494505494505,128.9368131868132,183.8653846153846
1,130.47330764997247,166.85305448541553,158.1221794166208,166.1618051733627,128.51238304898183,183.49422124380848
2,130.28465712876172,166.1716822890972,157.22496299950666,164.93339911198817,127.7074494326591,182.67834237789836
3,130.43884358784285,165.71015567086732,156.7783543365456,164.33135656041512,127.47442550037064,182.58413639733135
4,130.51332033788174,165.4749837556855,157.21637426900585,164.1578947368421,127.52761533463288,182.4957764782326
5,131.0309633027523,165.2631880733945,157.88360091743118,164.3297018348624,128.18233944954127,182.7144495412844
6,131.44452247191012,165.3560393258427,158.1692415730337,164.2619382022472,128.5933988764045,182.87780898876406
7,131.7424623115578,165.53517587939697,159.06742043551088,164.32914572864323,129.24497487437185,183.43676716917923
8,132.01340645947593,165.57830591102987,158.91224862888484,164.09201706276662,129.77148080438758,183.77269957343083
9,133.1257253384913,166.45647969052226,159.84912959381043,165.1650548033527,131.0715667311412,184.70857511283043
10,133.1910034602076,166.840830449827,159.88996539792387,165.64567474048442,131.34878892733565,184.638062283737
11,133.03453038674033,166.83080110497238,159.9164364640884,166.07527624309392,131.72513812154696,184.46408839779005
12,132.9060066740823,166.84315906562847,159.80700778642935,166.39988876529478,132.22080088987764,184.51835372636262
13,133.04171779141103,166.6073619631902,159.59325153374232,166.80368098159508,132.77300613496934,184.82208588957056
14,133.5968899521531,166.52452153110048,159.50478468899522,167.4934210526316,133.29904306220095,185.29605263157896
15,134.07741420590582,166.37031125299282,159.4485235434956,168.1516360734238,133.26416600159618,185.50678371907424
16,133.93007582139848,166.48778433024432,159.6251053074979,168.61415332771693,132.8593091828138,185.64448188711037
17,133.57013574660633,166.94645550527903,159.98265460030166,169.01131221719456,132.44268476621417,185.83257918552036
18,132.85410094637223,167.04652996845425,160.3809148264984,169.5686119873817,131.9179810725552,185.8225552050473
19,132.20717131474103,167.24701195219123,160.52855245683932,169.71381142098272,131.05245683930943,185.7915006640106
20,131.67628705148206,167.09672386895477,160.8135725429017,169.85491419656788,130.2581903276131,185.85335413416536
21,130.87578070784178,166.55378209576682,160.53990284524636,168.70645385149203,129.42192921582236,185.13740458015266
22,131.61242603550295,167.35207100591717,161.44156804733728,168.94526627218934,129.93269230769232,185.9023668639053
23,129.15272978576365,163.85625431928128,158.37456807187283,165.26053904630268,127.67173462335867,181.66136834830684
24,132.15378356387308,166.7567127746135,161.66314076484946,167.24654190398698,130.65825874694875,184.91619202603744
25,133.0255348516218,167.72532781228432,163.0862663906142,167.62249827467218,131.65217391304347,185.77294685990339
26,133.2936564504633,168.1176051318603,163.54811119030649,167.43264433357092,132.3449750534569,186.5352815395581
27,132.22239146991623,167.24371667936023,162.1035795887281,166.05712109672507,131.46230007616145,185.20792079207922
28,133.32029669588673,169.23533378287254,163.63991908294,168.7242076871207,132.5738368172623,187.2198246797033
29,134.24132492113566,170.47476340694007,162.97712933753942,169.13485804416405,133.26813880126184,187.9416403785489
30,134.52827265685517,170.8497288923315,161.96127033307513,169.39426800929513,133.0627420604183,187.75445391169637
