id,A0,A1,A2,A3,A4,A5
0,148.05102040816325,145.37918367346938,166.7191836734694,177.31551020408162,143.2983673469388,201.66571428571427
1,147.5819637589549,144.96333754740834,165.67425200168563,176.173198482933,142.4513274336283,200.67130214917825
2,147.79390973355083,145.16585100598152,165.84393692224035,176.2430668841762,142.36432843936922,200.9021207177814
3,147.78053527980535,145.1639902676399,165.7007299270073,175.94111922141118,142.23260340632604,200.70754257907544
4,147.64721627408994,144.98447537473234,165.84850107066381,175.89400428265526,142.19057815845824,200.6627408993576
5,147.35752557233317,144.7330735509011,165.45494398441306,175.339016074038,142.0852411105699,200.13833414515344
6,147.21035422343326,144.46376021798366,165.45776566757493,175.04032697547683,142.19564032697548,199.9100817438692
7,146.99003735990038,144.38854296388544,165.6230801162308,174.8082191780822,142.4541303445413,199.78497301784972
