id,A0,A1,A2,A3,A4,A5
0,115.89911757691391,151.9847364655378,144.69186739804437,150.89554018602433,114.80610541378488,169.90531838778918
1,114.92056252375522,150.22348916761686,140.98479665526415,146.7020144431775,113.03572786012923,166.2580767768909
2,118.8928757150286,158.41653666146647,148.67082683307333,154.01248049921998,116.03484139365574,175.40561622464898
3,125.55438066465257,171.53121852970796,161.8202416918429,166.43101711983888,121.24320241691844,191.14300100704935
4,130.52139800285306,179.93901569186875,170.27603423680458,175.45399429386592,125.4539942938659,202.34700427960058
5,130.5251770259638,178.09952793076317,170.64044059795435,176.95279307631785,126.1140833988985,202.96656176239182
6,126.16227420787682,168.22357121705656,161.28368374296713,169.79982232750962,122.41397690257625,192.2164643174415
7,119.99550928760972,155.9891814656052,148.2651561543172,156.37966932026944,116.87446417636252,176.74055929781588
8,115.91498114501199,147.91703805279397,140.4178950977031,146.701405553651,113.09667466575249,166.55776482687693
9,116.58107677604333,150.0767760433259,143.21790379101625,147.59796113411915,113.77222045237336,168.93373685887227
10,121.5911111111111,160.136,153.91555555555556,157.71466666666666,118.82133333333333,181.1408888888889
11,128.15368782161235,172.82675814751286,166.82504288164665,171.0542024013722,125.48404802744426,196.88267581475128
12,131.7042182369285,179.1053296286941,173.01566052033343,178.43142207628188,129.3622126799697,204.87117959080575
13,128.7407308615631,173.27180581488398,167.06375033342223,173.30888236863163,127.28781008268872,197.78020805548147
14,122.36484490398819,161.2934515017233,153.97316592811424,161.22599704579025,121.78951255539144,182.8114229443624
15,116.69671807038355,149.27560300514037,141.20442862791617,149.20245156188216,116.80921312771846,168.08857255832345
16,115.36640813051618,146.58063653383257,137.78871355977535,145.437282695908,114.89836854774003,164.13800481412142
17,119.72887407760057,155.0314210902166,146.7210188050464,153.7214948821709,118.52701737681504,174.3382527969531
18,145.96833871368264,194.4543084181773,185.09436304941644,194.18425627017632,143.81326049168115,220.05947355351378
19,130.70969529085872,176.5337950138504,169.70997229916898,179.72049861495844,128.75124653739613,202.10249307479225
20,131.01139374668787,178.086115527292,171.85665076841548,182.81743508214097,128.84260731319554,204.58479067302596
21,125.71261503067484,168.36368865030676,162.54467024539878,174.05329754601226,123.70072852760737,193.08397239263803
22,124.15533681944017,162.29483235927407,155.39526299600124,166.2353122116272,122.15195324515534,184.25484466318056
23,131.1794333683106,168.62722980062958,160.70068205666317,169.70986358866736,128.8389296956978,189.48740818467996
24,132.7228319057816,171.48608137044968,163.54751070663812,170.38329764453962,129.94151498929335,192.1754550321199
25,131.08067299396032,172.845340811044,166.17062122519414,171.387187230371,128.27739430543573,194.94413287316652
26,148.96202203499675,201.87686325340246,196.4697342838626,201.74154244977316,146.000388852884,229.56902138690862
27,151.29916317991632,206.1466759646676,202.9767549976755,208.68224081822407,149.12877731287773,237.2531380753138
28,146.86197126087836,197.81825541388383,194.04654928152195,200.1738514470755,145.28455778182555,227.63772515685085
29,140.63093622795117,185.8270013568521,179.0547263681592,185.90117593848936,139.45974672094076,210.1218905472637
30,133.45552784704904,173.09206151288444,163.845178719867,170.74147963424772,132.24438902743142,192.678927680798
