timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-12T22:55:42.374779,63,82,75,63,63,69
2026-08-12T22:55:43.288721,399,78,71,61,59,63
2026-08-12T22:55:43.342015,62,78,71,60,57,59
2026-08-12T22:55:43.394958,59,78,72,61,59,62
2026-08-12T22:55:43.448695,61,80,73,61,60,64
2026-08-12T22:55:43.501569,61,79,71,61,59,60
2026-08-12T22:55:43.555265,61,79,72,62,60,62
2026-08-12T22:55:43.608328,62,79,73,61,60,64
2026-08-12T22:55:43.661672,61,78,71,61,58,62
2026-08-12T22:55:43.714965,62,79,73,61,61,64
2026-08-12T22:55:43.767676,62,79,73,61,61,64
2026-08-12T22:55:43.821250,63,77,72,60,57,60
2026-08-12T22:55:43.874459,62,82,74,62,61,67
2026-08-12T22:55:43.927584,62,78,73,61,61,65
2026-08-12T22:55:43.980601,62,78,73,61,59,62
2026-08-12T22:55:44.034577,63,82,75,63,62,67
2026-08-12T22:55:44.087279,63,79,73,62,61,64
2026-08-12T22:55:44.140499,62,77,72,61,60,63
2026-08-12T22:55:44.193533,63,82,75,63,63,69
2026-08-12T22:55:44.246397,63,79,72,62,61,64
2026-08-12T22:55:44.296767,61,78,73,61,59,63
2026-08-12T22:55:44.349480,63,81,74,63,61,65
2026-08-12T22:55:44.402614,62,75,70,59,57,57
2026-08-12T22:55:44.455646,61,77,67,61,61,64
2026-08-12T22:55:44.505889,64,79,71,61,61,64
2026-08-12T22:55:44.558198,61,76,73,61,59,61
2026-08-12T22:55:44.612041,68,79,74,63,62,65
2026-08-12T22:55:44.664924,61,76,72,61,61,64
2026-08-12T22:55:44.717859,60,77,72,61,58,61
2026-08-12T22:55:44.771291,61,80,74,62,59,62
2026-08-12T22:55:44.824175,61,76,72,61,57,61
2026-08-12T22:55:44.877793,60,79,74,61,59,61
2026-08-12T22:55:44.931258,63,81,74,63,62,64
2026-08-12T22:55:44.984309,61,78,70,61,59,60
2026-08-12T22:55:45.037676,61,79,70,61,60,62
2026-08-12T22:55:45.090457,62,79,71,62,62,64
2026-08-12T22:55:45.143783,60,76,68,60,59,58
2026-08-12T22:55:45.197436,60,80,69,61,61,61
2026-08-12T22:55:45.250075,61,82,71,62,62,64
2026-08-12T22:55:45.300187,61,80,70,62,60,61
2026-08-12T22:55:45.353366,63,84,74,64,63,67
2026-08-12T22:55:45.406472,62,79,70,62,61,62
2026-08-12T22:55:45.459754,61,79,69,61,61,61
2026-08-12T22:55:45.513058,61,84,73,64,65,68
2026-08-12T22:55:45.566264,61,79,70,61,61,63
2026-08-12T22:55:45.617904,60,79,70,62,61,64
2026-08-12T22:55:45.668080,62,80,70,62,62,64
2026-08-12T22:55:45.721269,61,80,69,59,59,57
2026-08-12T22:55:45.774811,60,81,70,62,62,63
2026-08-12T22:55:45.828041,62,80,71,62,62,64
2026-08-12T22:55:45.881559,61,80,70,61,61,61
2026-08-12T22:55:45.934649,60,81,71,62,61,62
2026-08-12T22:55:45.988138,62,80,71,62,62,64
2026-08-12T22:55:46.041547,61,79,70,61,61,61
2026-08-12T22:55:46.093951,62,82,69,62,61,65
2026-08-12T22:55:46.147700,62,82,68,62,62,64
2026-08-12T22:55:46.201191,62,79,68,60,61,62
2026-08-12T22:55:46.254781,61,82,69,62,62,66
2026-08-12T22:55:46.306922,62,81,68,62,62,64
2026-08-12T22:55:46.360942,60,79,68,60,61,61
2026-08-12T22:55:46.414444,64,83,70,63,64,68
2026-08-12T22:55:46.467164,63,82,69,62,62,64
2026-08-12T22:55:46.519879,63,80,68,61,60,61
2026-08-12T22:55:46.573385,64,84,71,63,65,69
2026-08-12T22:55:46.623490,63,80,68,61,61,65
2026-08-12T22:55:46.675715,61,82,68,62,61,63
2026-08-12T22:55:46.729267,63,83,69,62,62,66
