timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-12T23:50:31.903033,87,65,96,82,65,67
2026-08-12T23:50:31.956629,87,65,97,82,65,67
2026-08-12T23:50:32.009365,85,64,95,79,64,66
2026-08-12T23:50:32.062259,87,65,97,83,66,68
2026-08-12T23:50:32.115679,87,65,97,83,67,68
2026-08-12T23:50:32.169718,84,63,95,78,62,64
2026-08-12T23:50:32.222962,87,64,97,82,65,67
2026-08-12T23:50:32.275404,87,65,97,84,67,68
2026-08-12T23:50:32.329259,84,62,95,78,62,65
2026-08-12T23:50:32.381995,86,64,96,81,65,66
2026-08-12T23:50:32.435776,88,66,98,84,67,68
2026-08-12T23:50:32.488620,85,62,94,78,61,63
2026-08-12T23:50:32.542427,86,63,96,82,64,66
2026-08-12T23:50:32.594754,88,66,98,83,68,68
2026-08-12T23:50:32.648520,86,63,95,79,64,65
2026-08-12T23:50:32.701537,86,63,95,80,64,66
2026-08-12T23:50:32.755340,88,66,98,83,67,69
2026-08-12T23:50:32.808649,86,63,95,80,64,65
2026-08-12T23:50:32.861281,85,63,96,80,64,66
2026-08-12T23:50:32.914347,88,65,98,83,68,68
2026-08-12T23:50:32.964536,88,65,97,82,66,67
2026-08-12T23:50:33.016752,87,65,98,83,67,67
2026-08-12T23:50:33.070744,84,62,95,78,62,64
2026-08-12T23:50:33.123920,86,64,97,82,65,66
2026-08-12T23:50:33.173974,87,66,98,83,67,68
2026-08-12T23:50:33.226442,88,66,96,83,66,68
2026-08-12T23:50:33.279189,87,64,96,81,63,65
2026-08-12T23:50:33.332438,85,64,96,80,64,66
2026-08-12T23:50:33.385566,87,65,97,83,67,68
2026-08-12T23:50:33.439422,88,65,98,82,66,67
2026-08-12T23:50:33.492343,83,63,95,79,63,64
2026-08-12T23:50:33.545611,87,65,97,82,66,67
2026-08-12T23:50:33.595775,88,66,97,83,67,67
2026-08-12T23:50:33.647414,87,64,97,83,66,67
2026-08-12T23:50:33.697501,88,67,97,84,68,69
2026-08-12T23:50:33.750594,85,63,95,80,63,65
2026-08-12T23:50:33.803653,85,63,95,80,63,66
2026-08-12T23:50:33.857231,88,66,98,84,67,67
2026-08-12T23:50:33.909367,87,64,96,81,65,66
2026-08-12T23:50:33.959949,88,65,98,83,66,67
2026-08-12T23:50:34.012827,84,62,94,77,62,64
2026-08-12T23:50:34.066143,86,64,96,82,65,66
2026-08-12T23:50:34.119778,88,66,97,81,66,68
2026-08-12T23:50:34.172571,84,63,94,77,61,64
2026-08-12T23:50:34.225943,86,63,95,80,64,66
2026-08-12T23:50:34.278803,88,66,98,83,66,68
2026-08-12T23:50:34.332399,85,63,95,78,62,63
2026-08-12T23:50:34.385193,86,63,96,80,65,65
2026-08-12T23:50:34.438338,87,66,98,84,68,67
2026-08-12T23:50:34.492078,86,63,95,80,64,66
2026-08-12T23:50:34.545124,85,63,95,80,64,65
2026-08-12T23:50:34.598528,88,66,97,83,68,68
2026-08-12T23:50:34.650881,86,63,95,80,64,65
2026-08-12T23:50:34.701657,85,63,94,77,62,64
2026-08-12T23:50:34.754091,84,62,94,77,61,64
2026-08-12T23:50:34.807349,85,64,95,80,64,65
2026-08-12T23:50:34.859855,86,65,96,81,64,66
2026-08-12T23:50:34.913644,83,62,95,78,61,63
2026-08-12T23:50:34.966441,84,63,94,78,62,64
2026-08-12T23:50:35.019655,86,65,97,80,64,66
2026-08-12T23:50:35.073236,84,63,95,77,61,63
2026-08-12T23:50:35.126413,84,62,95,78,60,65
2026-08-12T23:50:35.176574,86,64,96,79,63,67
2026-08-12T23:50:35.229284,85,63,95,78,62,65
2026-08-12T23:50:35.282369,86,65,97,79,63,66
2026-08-12T23:50:35.335870,83,62,95,77,61,64
2026-08-12T23:50:35.388940,85,63,96,79,61,65
2026-08-12T23:50:35.442117,86,64,96,80,63,66
2026-08-12T23:50:35.495751,83,62,94,77,61,64
2026-08-12T23:50:35.548805,84,62,95,78,61,65
2026-08-12T23:50:35.601354,85,64,96,79,63,65
2026-08-12T23:50:35.654660,83,62,94,76,59,64
2026-08-12T23:50:35.708103,84,62,95,77,61,64
2026-08-12T23:50:35.761721,82,63,93,77,62,64
2026-08-12T23:50:35.814414,80,59,90,74,58,62
2026-08-12T23:50:35.868463,80,60,92,75,58,62
2026-08-12T23:50:35.921515,82,62,93,77,61,64
2026-08-12T23:50:35.971566,80,61,90,74,58,62
2026-08-12T23:50:36.023717,80,62,91,75,61,64
2026-08-12T23:50:36.077009,78,62,87,73,58,62
2026-08-12T23:50:36.130490,79,61,89,74,61,63
2026-08-12T23:50:36.183036,80,64,90,76,64,65
2026-08-12T23:50:36.236431,79,63,88,73,62,63
2026-08-12T23:50:36.286992,80,64,89,74,62,64
2026-08-12T23:50:36.338943,80,66,89,74,64,66
2026-08-12T23:50:36.392499,81,68,90,75,65,67
2026-08-12T23:50:36.445624,81,68,89,74,66,67
2026-08-12T23:50:36.498530,80,67,88,74,65,66
2026-08-12T23:50:36.552321,78,66,85,72,64,65
2026-08-12T23:50:36.605758,78,68,84,72,66,65
2026-08-12T23:50:36.658798,76,66,82,70,64,66
2026-08-12T23:50:36.711368,75,66,79,69,64,63
2026-08-12T23:50:36.761744,78,70,82,73,69,68
2026-08-12T23:50:36.814045,77,68,81,71,66,66
2026-08-12T23:50:36.867225,76,68,80,69,65,65
2026-08-12T23:50:36.921643,76,69,81,72,68,67
2026-08-12T23:50:36.973609,75,67,77,70,68,66
2026-08-12T23:50:37.027476,74,68,77,68,65,64
2026-08-12T23:50:37.080467,74,68,77,69,67,65
2026-08-12T23:50:37.133883,75,68,77,69,67,65
2026-08-12T23:50:37.186461,74,69,77,68,66,65
2026-08-12T23:50:37.236961,72,66,74,66,64,63
2026-08-12T23:50:37.289593,71,66,74,66,64,62
2026-08-12T23:50:37.342698,74,68,77,68,67,65
2026-08-12T23:50:37.395892,73,67,76,68,66,63
2026-08-12T23:50:37.449451,73,67,75,67,65,64
2026-08-12T23:50:37.502377,73,68,76,68,67,65
2026-08-12T23:50:37.555944,73,68,76,69,66,64
2026-08-12T23:50:37.608901,72,66,74,67,63,63
2026-08-12T23:50:37.662258,67,62,71,64,62,60
2026-08-12T23:50:37.715191,67,62,70,64,59,59
2026-08-12T23:50:37.765240,68,64,70,65,62,61
