id,A0,A1,A2,A3,A4,A5
0,69.97173144876325,60.773851590106005,66.73144876325088,52.091872791519435,56.99293286219081,71.8339222614841
1,74.81799591002044,65.7361963190184,70.33537832310839,56.359918200409,60.83231083844581,75.69938650306749
2,79.13023255813954,69.78139534883721,74.25581395348837,59.711627906976744,63.646511627906975,80.4186046511628
3,82.11067193675889,72.99209486166008,77.58893280632411,62.78656126482213,66.6205533596838,84.28063241106719
4,87.67272727272727,78.21818181818182,82.0109090909091,67.08727272727273,70.04363636363637,90.42181818181818
5,98.67461669505963,87.52299829642249,90.25724020442931,74.86371379897786,76.14480408858603,101.73424190800681
6,105.01793721973094,93.30941704035874,94.84454409566517,79.44693572496263,79.33333333333333,108.09118086696562
7,111.2256,99.048,98.8912,83.2656,82.1376,113.6048
8,118.72354497354497,106.05952380952381,104.55555555555556,88.41402116402116,86.21957671957672,120.8862433862434
9,135.42564102564103,120.35897435897436,117.83760683760684,98.82735042735042,95.72991452991452,137.6102564102564
10,171.8109090909091,153.01818181818183,145.8018181818182,121.35454545454546,115.42727272727272,172.89454545454547
11,219.4618181818182,190.7290909090909,182.17636363636365,148.48545454545456,139.78181818181818,219.64545454545456
12,287.14029850746266,248.7044776119403,234.7134328358209,191.70597014925374,175.87014925373134,284.5776119402985
13,360.6307692307692,312.03076923076924,294.2598290598291,237.91794871794872,217.50940170940171,357.87692307692305
14,469.34132841328415,404.11439114391146,385.97416974169744,306.70848708487085,285.1125461254613,469.640221402214
15,569.6425120772947,494.24154589371983,470.09178743961354,367.39130434782606,344.0289855072464,572.1980676328502
16,681.3650793650794,603.9444444444445,565.3253968253969,434.2142857142857,414.53968253968253,697.4285714285714
17,792.2911877394636,702.7969348659004,652.639846743295,493.36015325670496,475.7471264367816,814.2030651340996
18,901.875,795.429347826087,742.2663043478261,551.4565217391304,534.7771739130435,924.1739130434783
19,995.447963800905,867.3831070889894,818.3257918552036,599.9200603318251,587.2609351432881,1017.6892911010558
20,1023.0,929.7975708502024,888.4696356275304,645.6963562753036,641.919028340081,1023.0
