timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-09T16:34:37.414544,81,207,110,126,56,162
2026-08-09T16:34:38.419535,81,209,111,126,57,163
2026-08-09T16:34:39.423145,82,209,112,127,58,164
2026-08-09T16:34:40.426353,107,252,134,86,62,153
2026-08-09T16:34:41.426375,112,236,159,76,55,133
2026-08-09T16:34:42.429289,241,275,136,71,66,207
2026-08-09T16:34:43.433153,240,274,136,72,66,205
2026-08-09T16:34:44.437024,240,198,127,56,74,181
2026-08-09T16:34:45.440218,248,195,124,54,74,185
2026-08-09T16:34:46.443375,228,169,92,48,70,161
2026-08-09T16:34:47.443565,220,170,85,45,65,155
2026-08-09T16:34:48.446016,197,137,46,36,49,73
2026-08-09T16:34:49.449765,184,144,42,35,46,59
2026-08-09T16:34:50.453288,91,88,35,34,40,40
2026-08-09T16:34:51.453577,90,81,36,34,41,40
2026-08-09T16:34:52.456696,121,66,35,33,44,44
2026-08-09T16:34:53.460415,268,62,36,34,79,47
2026-08-09T16:34:54.463467,304,51,35,35,74,42
2026-08-09T16:34:55.466512,287,40,35,35,63,38
2026-08-09T16:34:56.466883,361,43,35,36,217,49
2026-08-09T16:34:57.470114,148,35,35,35,99,36
2026-08-09T16:34:58.473617,158,35,35,34,149,35
2026-08-09T16:34:59.476296,81,34,34,33,147,34
2026-08-09T16:35:00.476539,38,33,34,33,54,33
2026-08-09T16:35:01.480133,47,33,33,46,81,34
2026-08-09T16:35:02.483550,67,34,35,76,154,44
2026-08-09T16:35:03.487104,108,37,39,88,261,94
2026-08-09T16:35:04.490214,78,39,44,94,422,110
2026-08-09T16:35:05.494154,99,46,54,242,496,116
2026-08-09T16:35:06.497457,67,45,54,352,497,99
2026-08-09T16:35:07.501115,66,49,58,252,303,175
2026-08-09T16:35:08.504122,53,45,130,194,201,169
2026-08-09T16:35:09.507471,46,46,85,209,198,102
2026-08-09T16:35:10.507571,47,46,84,211,196,102
2026-08-09T16:35:11.510312,64,68,94,278,197,147
2026-08-09T16:35:12.514050,146,158,160,340,230,224
2026-08-09T16:35:13.517195,243,137,182,302,284,270
2026-08-09T16:35:14.517631,317,171,162,206,347,306
2026-08-09T16:35:15.520624,287,216,94,136,291,272
2026-08-09T16:35:16.524729,271,214,90,131,279,278
2026-08-09T16:35:17.528040,252,210,80,123,255,266
2026-08-09T16:35:18.531659,257,198,76,122,224,229
2026-08-09T16:35:19.534887,132,267,146,70,56,148
2026-08-09T16:35:20.538010,72,200,128,121,55,145
2026-08-09T16:35:21.538505,101,200,107,138,70,154
2026-08-09T16:35:22.541000,102,200,107,138,70,155
2026-08-09T16:35:23.544586,102,199,107,138,69,156
2026-08-09T16:35:24.547971,102,199,107,138,69,156
2026-08-09T16:35:25.551891,102,200,106,138,69,156
