id,A0,A1,A2,A3,A4,A5
0,144.5151515151515,141.88246097337006,167.15610651974288,174.21303948576676,141.43250688705234,199.8099173553719
1,144.60114777618364,141.9010043041607,166.7374461979914,173.79913916786228,142.03156384505021,199.71018651362985
2,147.5040322580645,144.90322580645162,170.48387096774192,177.53387096774193,145.40645161290323,203.2475806451613
3,147.4547697368421,144.81661184210526,170.6422697368421,177.81661184210526,145.74177631578948,203.52713815789474
4,147.1829181494662,144.55160142348754,170.2782918149466,177.56725978647688,145.70249110320285,203.21921708185053
5,147.1326915027208,144.45751360401843,170.17999162829636,177.6827124319799,145.68354960234407,203.18627040602763
6,147.16952264381885,144.5593635250918,170.17931456548348,178.04161566707467,145.82129742962056,203.39657282741737
7,147.14526588845655,144.48508430609598,169.86186770428014,178.06549935149158,145.59662775616084,203.15823605706873
8,147.23946243127673,144.58643860720832,169.46120952962735,178.069639584606,145.34086744043984,203.07391569945023
9,148.0,147.0,168.5,178.0,145.5,203.0
10,147.67583382094793,144.96021064950264,169.22761849034524,178.42890579286131,145.29315389116442,203.3130485664131
11,147.82168572638713,145.1702668360864,168.79542566709023,178.48199915290132,145.0559085133418,203.18551461245235
12,148.20997766195086,145.57930007446015,168.26880119136263,178.49069247952346,144.85554728220401,203.16902457185407
13,148.1286804798255,145.5267175572519,167.7917121046892,178.28898582333696,144.39258451472193,202.67557251908397
14,148.44301221166893,145.76255088195387,167.3202170963365,178.1112618724559,144.11058344640435,202.71641791044777
15,148.37961595273265,145.6957163958641,166.89807976366322,177.74224519940915,143.5709010339734,202.34416543574594
