id,A0,A1,A2,A3,A4,A5
0,134.53639718215365,162.32975511573298,156.0328748742033,162.33143240523313,133.449849043945,177.63770546796377
1,132.8142102736438,160.8746999519923,154.66586653864618,161.2635621699472,131.97551608257322,176.0475276044167
2,134.50916784203102,163.30014104372356,157.21071932299012,163.97856135401975,133.61720733427362,179.08575458392102
3,130.99121338912133,159.34832635983264,153.24560669456068,159.90062761506277,129.8910041841004,174.58221757322175
4,129.6356890459364,157.8862190812721,151.8053003533569,158.1137809187279,128.43356890459364,172.8095406360424
5,128.454467538033,156.69937861581315,150.9192200557103,156.6183844011142,127.07949432183416,170.95628883651167
6,129.7212984956453,158.2285563473212,152.49432567959883,157.91871206122988,128.08498284507786,172.47242016363157
7,130.16242236024846,158.7478260869565,153.34565217391304,158.01055900621117,128.41925465838509,172.8524844720497
8,131.37254130605822,160.0623524783635,154.96852871754524,159.1038552321007,129.68489378442172,174.6726986624705
9,131.37486258702822,160.02528398680835,154.96482227922317,158.14254305606448,129.80469036277026,174.3499450348113
10,131.1481351161154,159.64532019704433,154.16502463054186,157.13863476425053,129.7902885292048,173.59429978888107
11,131.8230128349471,160.42152668317945,154.36996172033327,157.4906552578248,130.63656834046387,173.72326052690835
12,132.1732092270336,160.73087818696885,154.18899231080533,157.96964791582354,130.86645082962363,173.96398219344394
13,133.6251091321809,162.74663872882834,155.2802514405448,159.62179151388162,131.86694604504976,175.7890693207613
14,138.36456324056215,166.8151005786718,158.96527969137503,163.2565445026178,136.02810691650592,178.95839074125104
15,139.68307144974798,168.61666172546694,160.5268307144975,164.9513785947228,136.8283427216128,180.86540171953752
16,139.05008635578585,167.79817419195658,159.75351591413767,163.86627189735998,135.80680977054035,180.34369602763385
17,138.87284220763433,166.83783126671528,159.1342086068563,163.39071237539508,135.6464867493314,179.80938487721858
18,139.06435488909716,166.22086847860044,159.03217744454858,163.27272727272728,136.11902530459233,179.44860980943454
19,137.64561403508773,164.32262234533704,157.40664819944598,161.59907663896584,135.0467220683287,177.67626962142197
20,137.160244059088,163.53403982016698,156.94476557482338,160.834938985228,134.81535003211303,177.0491329479769
21,136.09422792303897,162.80463739516526,156.67982239763197,160.26788357178097,134.14356191415885,176.69758263443512
22,136.97724597881523,164.3052177324441,158.48371910553158,162.1604550804237,135.36837975676735,178.77402903099255
23,135.99349522983522,163.7810060711188,158.01431049436252,161.83998265394624,134.7688638334779,178.27189939288812
24,134.9652671755725,163.08664122137404,157.1935114503817,161.0007633587786,133.91679389312978,177.46221374045803
25,133.6862469222652,161.97361941610976,155.92402391839607,159.9138234259585,133.20787900105523,176.06718255364052
26,132.95371814872595,161.19266770670828,154.80395215808633,159.2046281851274,132.85491419656788,175.11154446177846
27,131.17881996974282,158.76369137670196,152.05325264750377,157.01361573373677,131.06565809379728,172.7282904689864
28,127.73536439665472,155.21804062126643,148.80645161290323,153.71744324970132,127.27538829151733,169.40442054958183
29,128.32823197744665,155.73258155457108,149.38139347563433,154.6983487716472,127.4252919855014,170.05920257752717
30,129.03140495867768,157.14380165289256,150.86942148760332,156.80165289256198,128.0305785123967,171.8194214876033
