timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-18T15:56:46.076996,62,61,156,155,61,61,0
2026-08-18T15:56:46.076996,64,60,156,155,61,60,0
2026-08-18T15:56:46.080104,63,61,156,156,60,60,0
2026-08-18T15:56:46.080104,62,60,156,155,61,59,0
2026-08-18T15:56:46.081102,63,60,156,157,61,59,0
2026-08-18T15:56:46.083424,62,61,155,155,59,59,0
2026-08-18T15:56:46.084896,64,61,156,156,61,58,0
2026-08-18T15:56:46.084896,64,60,156,156,59,58,0
2026-08-18T15:56:46.087906,63,61,156,156,60,60,0
2026-08-18T15:56:46.088903,62,60,156,156,58,59,0
2026-08-18T15:56:46.088903,63,60,156,155,61,59,0
2026-08-18T15:56:46.092075,62,62,156,155,60,60,0
2026-08-18T15:56:46.093045,63,61,156,156,61,59,0
2026-08-18T15:56:46.093045,61,60,156,155,59,58,0
2026-08-18T15:56:46.096074,63,60,155,156,60,60,0
2026-08-18T15:56:46.097391,63,61,156,156,58,59,0
2026-08-18T15:56:46.097391,63,60,156,156,59,58,0
2026-08-18T15:56:46.100656,61,62,155,155,59,60,0
2026-08-18T15:56:46.100656,63,63,156,156,60,60,0
2026-08-18T15:56:46.100656,63,62,156,156,59,59,0
2026-08-18T15:56:46.105111,63,60,156,155,59,58,0
2026-08-18T15:56:46.105111,63,63,156,156,61,59,0
2026-08-18T15:56:46.105111,62,61,156,156,59,59,0
2026-08-18T15:56:46.109125,62,60,156,157,59,58,0
2026-08-18T15:56:46.109125,63,63,157,156,58,58,0
2026-08-18T15:56:46.109125,63,62,156,156,59,60,0
2026-08-18T15:56:46.113129,63,60,155,155,59,59,0
2026-08-18T15:56:46.113129,63,62,156,156,59,59,0
2026-08-18T15:56:46.114111,63,61,156,156,60,60,0
2026-08-18T15:56:46.116550,63,61,156,155,59,60,0
2026-08-18T15:56:46.117618,63,61,157,156,59,59,0
2026-08-18T15:56:46.117618,62,63,156,156,60,60,0
2026-08-18T15:56:46.120623,63,60,156,155,59,58,0
2026-08-18T15:56:46.121623,64,61,156,156,59,59,0
2026-08-18T15:56:46.121623,61,62,156,156,60,60,0
2026-08-18T15:56:46.125626,62,60,156,155,61,58,0
2026-08-18T15:56:46.125626,63,61,156,156,59,59,0
